05_FD_19_00 (24129907): GenesysGenWcrotateBehaviour
C1_5A_09_00 (6369367): GenesysGenWcplaySoundBehaviour

C1_67_0F_00 (16815617): GenesysGenWcplaySoundBehaviour

C2_5A_09_00 (6369368): GenesysGenWcplaySoundBehaviour

C5_D0_0D_00_1 (9458707): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

C6_D0_0D_00 (9458708): GenesysGenEnableCompoundBehaviour

CC_D0_0D_00_1 (9458720): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

CD_5A_09_00 (6369385): GenesysGenWcplaySoundBehaviour

CE_04_1C_00 (25387576): GenesysGenWcsequenceBehaviour

CF_04_1C_00 (25387577): GenesysGenSequence
more info:
  count: 1
  sequenceTypes:
    - GenesysGenWaveSequenceItem
  
CF_D0_0D_00 (9458723): GenesysGenMakePhysicalBehaviour

D0_D0_0D_00 (9458724): GenesysGenDynamicAdditionalInfo

D1_D0_0D_00_1 (9458725): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

D2_F1_18_00 (23283568): GenesysGenLightLine

D4_D0_0D_00 (9458728): GenesysGenMakePhysicalBehaviour

D5_D0_0D_00 (9458729): GenesysGenDynamicAdditionalInfo

DC_D2_10_00_1 (17835350): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

DD_6C_13_00_1 (19345491): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

DF_D2_10_00 (17835353): GenesysGenMakePhysicalBehaviour

E0_6C_13_00 (19345494): GenesysGenWcvfxBehaviour

E0_D2_10_00 (17835360): GenesysGenDynamicAdditionalInfo

E1_6C_13_00 (19345495): GenesysGenWcvfxBehaviour

E5_5A_09_00 (6369427): GenesysGenWcplaySoundBehaviour

E5_6C_13_00 (19345505): GenesysGenEnableCompoundBehaviour

E6_6C_13_00 (19345506): GenesysGenWcvfxBehaviour

E7_6C_13_00 (19345507): GenesysGenWcplaySoundBehaviour

E9_6C_13_00 (19345509): GenesysGenWcvfxBehaviour

EA_6C_13_00 (19345510): GenesysGenLightSpot

ED_6C_13_00 (19345513): GenesysGenCorona

F5_12_07_00 (4601349): GenesysGenWcvfxBehaviour
