03_43_0B_00 (7569489): GenesysGenSoundDistanceFalloff
9D_EC_13_00_1 (19945303): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

A0_EC_13_00 (19945312): GenesysGenMakePhysicalBehaviour

A1_EC_13_00 (19945313): GenesysGenDynamicAdditionalInfo

A2_EC_13_00_1 (19945314): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

A5_3C_00_00 (87333): GenesysGenWcvfxBehaviour

A5_5B_15_00 (20551447): GenesysGenWcvfxBehaviour

A5_EC_13_00 (19945317): GenesysGenMakePhysicalBehaviour

A6_5B_15_00 (20551448): GenesysGenWcvfxBehaviour

A6_EC_13_00 (19945318): GenesysGenDynamicAdditionalInfo

A7_5B_15_00 (20551449): GenesysGenWcvfxBehaviour

A7_EC_13_00_1 (19945319): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

A8_5B_15_00 (20551456): GenesysGenWcvfxBehaviour

AA_EC_13_00 (19945328): GenesysGenMakePhysicalBehaviour

AB_EC_13_00 (19945329): GenesysGenDynamicAdditionalInfo

AE_6C_13_00 (19345414): GenesysGenCorona

AF_6C_13_00 (19345415): GenesysGenLightPoint

B1_5B_15_00_1 (20551465): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

B4_5B_15_00 (20551474): GenesysGenMakePhysicalBehaviour

B5_5B_15_00 (20551475): GenesysGenDynamicAdditionalInfo

B6_5B_15_00 (20551476): GenesysGenSmashProxyBehaviour

BB_8B_14_00 (20210833): GenesysGenCorona

BC_3D_11_00 (17996054): GenesysGenDynamicAdditionalInfo

BC_8B_14_00 (20210834): GenesysGenCorona

BF_5A_09_00 (6369365): GenesysGenWcplaySoundBehaviour

C1_5A_09_00 (6369367): GenesysGenWcplaySoundBehaviour

C1_67_0F_00 (16815617): GenesysGenWcplaySoundBehaviour

C2_5A_09_00 (6369368): GenesysGenWcplaySoundBehaviour

C2_6C_13_00 (19345446): GenesysGenWcvfxBehaviour

DC_F1_18_00 (23283584): GenesysGenLightSpot

E5_5A_09_00 (6369427): GenesysGenWcplaySoundBehaviour

E9_8B_14_00_1 (20210999): GenesysGenRaceCarPhysicalDefinitionPhysicalDefinition

EA_8B_14_00 (20211000): GenesysGenWcvfxBehaviour

EB_8B_14_00 (20211001): GenesysGenLightSpot

EC_8B_14_00 (20211008): GenesysGenWcvfxBehaviour

FA_EB_18_00 (23278196): GenesysGenWcvfxBehaviour
